conn_hash	stmt_id	exec_id	exec_time	sql_type	exe_status	db_ip	client_ip	client_host	app_name	db_user	sql_hash	from_tbs	select_cols	sql_stmt	stmt_bind_vars
conn_5528627409419412851	968	5	2024-11-14 20:53:59	DELETE	FAILURE	192.168.172.6	10.0.196.176	host_71	app_1	user_4	hash_11813092701131086134	tbs_1	N/A	DELETE FROM table_4 WHERE age > 43 AND salary < 6739 AND salary < 6739	bind_vars_example
conn_18229062850874598778	26	8	2024-11-14 20:53:59	SELECT	SUCCESS	192.168.198.184	10.0.2.17	host_79	app_3	user_7	hash_2687462682397684673	tbs_2	salary, name	SELECT id, id FROM table_2 WHERE department = 'Engineering' AND name LIKE 'C%'	bind_vars_example
conn_2448127039613524764	908	7	2024-11-14 20:53:59	SELECT	FAILURE	192.168.218.214	10.0.174.133	host_98	app_3	user_5	hash_3993477385308128564	tbs_4	id, department, age, department	SELECT age, salary, age, id FROM table_1 WHERE name LIKE 'B%' AND name LIKE 'B%'	bind_vars_example
conn_188937009694001077	834	6	2024-11-14 20:53:59	SELECT	SUCCESS	192.168.198.232	10.0.240.158	host_17	app_4	user_5	hash_2524805637710660557	tbs_4	salary, department, age, id	SELECT name, name FROM table_3 WHERE name LIKE 'A%' AND department = 'HR'	bind_vars_example
conn_15630111579513468674	815	6	2024-11-14 20:53:59	DELETE	FAILURE	192.168.121.184	10.0.69.62	host_46	app_3	user_9	hash_17115451938373443019	tbs_1	N/A	DELETE FROM table_2 WHERE name LIKE 'C%'	bind_vars_example
conn_10912890233961036986	675	1	2024-11-14 20:53:59	INSERT	FAILURE	192.168.140.185	10.0.23.138	host_97	app_2	user_8	hash_11983650920266383948	tbs_4	N/A	INSERT INTO table_1 (id, name, age, salary) VALUES (69, 'John Doe', 37, 8544)	bind_vars_example
conn_11446347556540139846	764	5	2024-11-14 20:53:59	SELECT	FAILURE	192.168.12.189	10.0.158.144	host_60	app_4	user_5	hash_5327081155362007143	tbs_4	id, department, name	SELECT name FROM table_3 WHERE name LIKE 'C%'	bind_vars_example
conn_3347835399822543692	540	10	2024-11-14 20:53:59	UPDATE	SUCCESS	192.168.183.147	10.0.147.231	host_65	app_2	user_8	hash_3918704043994198368	tbs_3	N/A	UPDATE table_2 SET salary = 6400 WHERE age > 35 AND age > 35	bind_vars_example
conn_7142231393098793902	866	2	2024-11-14 20:53:59	SELECT	FAILURE	192.168.215.227	10.0.198.94	host_52	app_3	user_2	hash_6192162151632722794	tbs_3	salary, name, department, age	SELECT department, department, salary, age FROM table_3 WHERE name LIKE 'C%' AND age > 44	bind_vars_example
conn_9867832418459792251	109	7	2024-11-14 20:53:59	DELETE	FAILURE	192.168.58.166	10.0.191.136	host_47	app_3	user_3	hash_14289442386313736085	tbs_2	N/A	DELETE FROM table_2 WHERE department = 'Sales'	bind_vars_example
conn_11056503617073408956	753	2	2024-11-14 20:53:59	DELETE	FAILURE	192.168.35.152	10.0.229.246	host_70	app_4	user_9	hash_5229534522252729544	tbs_2	N/A	DELETE FROM table_3 WHERE department = 'Engineering' AND name LIKE 'A%' AND age > 39	bind_vars_example
conn_892341812048976184	872	4	2024-11-14 20:53:59	DELETE	FAILURE	192.168.14.11	10.0.136.167	host_41	app_3	user_6	hash_10160191727507126074	tbs_2	N/A	DELETE FROM table_2 WHERE salary < 3235 AND salary < 3235 AND age > 31	bind_vars_example
